Date,oil_price,change_oil_price,gdp,change_gdp,interest_rate,change_interest_rate,cpi,change_cpi_rate,unemployment_rate,change_unemployment_rate,stock,stock_price,monthly_return,volatility,industry
01-1980,17.86,NA,2789.842,NA,13.82,0,78,NA,6.3,NA,IBM,16.401769638061523,NA,NA,Technology & Communication Services
01-1980,17.86,NA,2789.842,NA,13.82,0,78,NA,6.3,NA,MMM,5.173494815826416,NA,NA,Industrials & Energy
01-1980,17.86,NA,2789.842,NA,13.82,0,78,NA,6.3,NA,WMT,0.046386998,NA,NA,Consumer Discretionary & Consumer Staples
02-1980,18.86,5.599104143,2789.842,NA,14.13,226.3279445727483,79,1.282051282,6.3,0,IBM,15.17686367034912,-0.07468133,NA,Technology & Communication Services
02-1980,18.86,5.599104143,2789.842,NA,14.13,226.3279445727483,79,1.282051282,6.3,0,MMM,5.225752830505371,0.010101105,NA,Industrials & Energy
02-1980,18.86,5.599104143,2789.842,NA,14.13,226.3279445727483,79,1.282051282,6.3,0,WMT,0.041666999,-0.101752622,NA,Consumer Discretionary & Consumer Staples
03-1980,19.33,2.49204666,2789.842,NA,17.19,222.5140712945591,80.1,1.392405063,6.3,0,IBM,13.324569702148438,-0.122047217,0.03349274,Technology & Communication Services
03-1980,19.33,2.49204666,2789.842,NA,17.19,222.5140712945591,80.1,1.392405063,6.3,0,MMM,5.199624061584473,-0.005000001,0.010678094,Industrials & Energy
03-1980,19.33,2.49204666,2789.842,NA,17.19,222.5140712945591,80.1,1.392405063,6.3,0,WMT,0.037108999,-0.109391143,0.00540125,Consumer Discretionary & Consumer Staples
04-1980,20.28,4.914640455,2797.352,0.269190872,17.61,230.3939962476547,80.9,0.998751561,6.9,9.523809524,IBM,13.115440368652344,-0.015695016,0.053281803,Technology & Communication Services
04-1980,20.28,4.914640455,2797.352,0.269190872,17.61,230.3939962476547,80.9,0.998751561,6.9,9.523809524,MMM,5.513168811798096,0.060301427,0.034186723,Industrials & Energy
04-1980,20.28,4.914640455,2797.352,0.269190872,17.61,230.3939962476547,80.9,0.998751561,6.9,9.523809524,WMT,0.042318001,0.14037033657314835,0.14204616089957958,Consumer Discretionary & Consumer Staples
05-1980,21.05,3.796844181,2797.352,0.269190872,10.98,106.00375234521576,81.7,0.988875155,7.5,8.695652174,IBM,13.234943389892578,0.009111629,0.069676398,Technology & Communication Services
05-1980,21.05,3.796844181,2797.352,0.269190872,10.98,106.00375234521576,81.7,0.988875155,7.5,8.695652174,MMM,5.669940948486328,0.02843594,0.032653861,Industrials & Energy
05-1980,21.05,3.796844181,2797.352,0.269190872,10.98,106.00375234521576,81.7,0.988875155,7.5,8.695652174,WMT,0.044596002,0.053830522,0.12682747369047134,Consumer Discretionary & Consumer Staples
06-1980,21.52,2.232779097,2797.352,0.269190872,9.47,77.67354596622891,82.5,0.979192166,7.6,1.333333333,IBM,14.041586875915527,0.060948012,0.039107829,Technology & Communication Services
06-1980,21.52,2.232779097,2797.352,0.269190872,9.47,77.67354596622891,82.5,0.979192166,7.6,1.333333333,MMM,5.552361965179443,-0.02073725,0.040826215,Industrials & Energy
06-1980,21.52,2.232779097,2797.352,0.269190872,9.47,77.67354596622891,82.5,0.979192166,7.6,1.333333333,WMT,0.049966998,0.120436737,0.045319009,Consumer Discretionary & Consumer Staples
07-1980,22.31,3.671003717,2856.483,2.113820499,9.03,69.41838649,82.6,0.121212121,7.8,2.631578947,IBM,15.59512424468994,0.11063830480863102,0.050767118,Technology & Communication Services
